entidad_nombre	nombre_curso	instructor	calificacion	comentario	fecha_comentario
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	4.0	Cumplió mis expectativas.	2023-03-12 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	4.0	Cumplió mis expectativas.	2023-03-12 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	4.0	Cumplió mis expectativas.	2023-03-12 12:32:55
Smart	Curso de Programación en Java	Luis Ramírez	4.0	No fue lo que esperaba.	2023-04-12 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	1.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-07-09 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Desarrollo Web	Laura Torres	5.0	El curso es claro y bien explicado.	2024-08-06 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	3.0	No fue lo que esperaba.	2024-03-09 12:32:55
Academia Colombiana de Software	Bootcamp en Desarrollo Full Stack	Diana Sánchez	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-04-07 12:32:55
Bootcamp Digital Bogotá	Curso de Inglés para Tecnología	Andrea Ruiz	3.0	El material de apoyo fue excelente.	2024-06-04 12:32:55
Centro de Idiomas Avanzados	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-06-04 12:32:55
Diplomados IT Cali	Curso de Ciberseguridad	Sofía Rodríguez	5.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-02-06 12:32:55
Centro de Idiomas Avanzados	Diplomado en Inteligencia Artificial	Camilo Gómez	1.0	Buen contenido pero puede mejorar.	2024-09-06 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Inteligencia Artificial	Camilo Gómez	2.0	El material de apoyo fue excelente.	2024-03-09 12:32:55
Diplomados IT Cali	Curso de Ciencia de Datos	Mario López	4.0	No fue lo que esperaba.	2024-05-02 12:32:55
Centro de Idiomas Avanzados	Bootcamp en Desarrollo Full Stack	Diana Sánchez	1.0	El material de apoyo fue excelente.	2024-04-05 12:32:55
Smart	Curso de Inglés Básico	Daniela Méndez	2.0	No fue lo que esperaba.	2024-11-07 12:32:55
Instituto de Tecnología de Medellín	Curso de Ciencia de Datos	Mario López	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-02-02 12:32:55
Diplomados IT Cali	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	4.0	El curso es claro y bien explicado.	2024-10-04 12:32:55
Smart	Diplomado en Desarrollo Web	Laura Torres	3.0	El curso es claro y bien explicado.	2024-06-06 12:32:55
Instituto de Tecnología de Medellín	Curso Intensivo de Inglés para Programadores	Miguel Ángel	4.0	El material de apoyo fue excelente.	2024-01-05 12:32:55
Smart	Curso de Ciencia de Datos	Mario López	4.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-10-03 12:32:55
Bootcamp Digital Bogotá	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	5.0	Aprendí mucho, gracias al instructor.	2024-05-05 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	4.0	Cumplió mis expectativas.	2023-03-12 12:32:55
Smart	Curso de Programación en Java	Luis Ramírez	4.0	No fue lo que esperaba.	2023-04-12 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	1.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-07-09 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Desarrollo Web	Laura Torres	5.0	El curso es claro y bien explicado.	2024-08-06 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	3.0	No fue lo que esperaba.	2024-03-09 12:32:55
Academia Colombiana de Software	Bootcamp en Desarrollo Full Stack	Diana Sánchez	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-04-07 12:32:55
Bootcamp Digital Bogotá	Curso de Inglés para Tecnología	Andrea Ruiz	3.0	El material de apoyo fue excelente.	2024-06-04 12:32:55
Centro de Idiomas Avanzados	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-06-04 12:32:55
Diplomados IT Cali	Curso de Ciberseguridad	Sofía Rodríguez	5.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-02-06 12:32:55
Centro de Idiomas Avanzados	Diplomado en Inteligencia Artificial	Camilo Gómez	1.0	Buen contenido pero puede mejorar.	2024-09-06 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Inteligencia Artificial	Camilo Gómez	2.0	El material de apoyo fue excelente.	2024-03-09 12:32:55
Diplomados IT Cali	Curso de Ciencia de Datos	Mario López	4.0	No fue lo que esperaba.	2024-05-02 12:32:55
Centro de Idiomas Avanzados	Bootcamp en Desarrollo Full Stack	Diana Sánchez	1.0	El material de apoyo fue excelente.	2024-04-05 12:32:55
Smart	Curso de Inglés Básico	Daniela Méndez	2.0	No fue lo que esperaba.	2024-11-07 12:32:55
Instituto de Tecnología de Medellín	Curso de Ciencia de Datos	Mario López	3.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-02-02 12:32:55
Diplomados IT Cali	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	4.0	El curso es claro y bien explicado.	2024-10-04 12:32:55
Smart	Diplomado en Desarrollo Web	Laura Torres	3.0	El curso es claro y bien explicado.	2024-06-06 12:32:55
Instituto de Tecnología de Medellín	Curso Intensivo de Inglés para Programadores	Miguel Ángel	4.0	El material de apoyo fue excelente.	2024-01-05 12:32:55
Smart	Curso de Ciencia de Datos	Mario López	4.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-10-03 12:32:55
Bootcamp Digital Bogotá	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	5.0	Aprendí mucho, gracias al instructor.	2024-05-05 12:32:55
Instituto de Tecnología de Medellín	Curso de Programación en Java	Luis Ramírez	4.0	Cumplió mis expectativas.	2023-03-12 12:32:55
Smart	Curso de Programación en Java	Luis Ramírez	4.0	No fue lo que esperaba.	2023-04-12 12:32:55
Instituto de Tecnología de Medellín	Diplomado en Gestión de Proyectos IT	Felipe Álvarez	1.0	¡Me encantó! Volvería a tomar un curso con ellos.	2024-07-09 12:32:55
